"county","precinct","year","State House DEM","State Senate DEM","US House DEM"
"Salt Lake","SLC146",2016,205,,209
"Salt Lake","SLC146",2018,237,234,260
"Salt Lake","SLC148",2016,304,,316
"Salt Lake","SLC148",2018,356,377,399
"Salt Lake","SLC149",2016,602,,641
"Salt Lake","SLC149",2018,619,633,653
"Salt Lake","SLC150",2016,12,,14
"Salt Lake","SLC150",2018,12,15,16
"Salt Lake","SLC151",2016,500,,515
"Salt Lake","SLC151",2018,609,626,646
"Salt Lake","SLC152",2016,487,,511
"Salt Lake","SLC152",2018,540,555,569
"Salt Lake","SLC156",2016,405,,425
"Salt Lake","SLC156",2018,472,471,499
"Salt Lake","SLC158",2016,314,,324
"Salt Lake","SLC158",2018,379,394,424
"Salt Lake","SLC159",2016,326,,350
"Salt Lake","SLC159",2018,392,422,440
"Salt Lake","SLC160",2016,515,,528
"Salt Lake","SLC160",2018,557,584,623
"Salt Lake","SLC167",2016,568,,439
"Salt Lake","SLC167",2018,510,496,515
"Salt Lake","SSL001",2016,107,,106
"Salt Lake","SSL001",2018,130,150,146
"Salt Lake","SSL002",2016,255,,215
"Salt Lake","SSL002",2018,271,260,289
"Salt Lake","SSL003",2016,34,,37
"Salt Lake","SSL003",2018,30,33,30
"Salt Lake","SSL004",2016,313,,351
"Salt Lake","SSL004",2018,348,392,412
"Salt Lake","SSL005",2016,288,,315
"Salt Lake","SSL005",2018,355,377,407
"Salt Lake","SSL006",2016,451,,469
"Salt Lake","SSL006",2018,507,527,586
"Salt Lake","SSL007",2016,494,,544
"Salt Lake","SSL007",2018,523,576,629
"Salt Lake","SSL008",2016,274,,288
"Salt Lake","SSL008",2018,297,342,353
"Salt Lake","SSL009",2016,183,,201
"Salt Lake","SSL009",2018,216,245,269
"Salt Lake","SSL010",2016,241,,261
"Salt Lake","SSL010",2018,306,340,353
"Salt Lake","SSL011",2016,309,,325
"Salt Lake","SSL011",2018,345,378,399
"Salt Lake","SSL012",2016,162,,158
"Salt Lake","SSL012",2018,153,164,179
"Salt Lake","SSL014",2016,586,,629
"Salt Lake","SSL014",2018,633,673,741
"Salt Lake","SWT001",2016,132,,143
"Salt Lake","SWT001",2018,147,,172
"Salt Lake","SWT002",2016,5,4,3
"Salt Lake","SWT002",2018,0,,0
"Salt Lake","TAY001",2016,489,,496
"Salt Lake","TAY001",2018,520,561,535
"Salt Lake","TAY002",2016,278,,287
"Salt Lake","TAY002",2018,330,358,330
"Salt Lake","TAY004",2016,362,,341
"Salt Lake","TAY004",2018,392,438,414
"Salt Lake","TAY007",2016,340,,347
"Salt Lake","TAY007",2018,325,423,365
"Salt Lake","TAY008",2016,525,,501
"Salt Lake","TAY008",2018,554,616,578
"Salt Lake","TAY009",2016,20,,15
"Salt Lake","TAY010",2016,212,,190
"Salt Lake","TAY010",2018,199,214,201
"Salt Lake","TAY011",2016,423,,405
"Salt Lake","TAY011",2018,413,424,406
"Salt Lake","TAY012",2016,211,,191
"Salt Lake","TAY012",2018,225,236,239
"Salt Lake","TAY013",2016,129,,127
"Salt Lake","TAY013",2018,145,188,190
"Salt Lake","TAY014",2016,288,260,321
"Salt Lake","TAY014",2018,298,,399
"Salt Lake","TAY015",2016,267,246,321
"Salt Lake","TAY015",2018,257,,360
"Salt Lake","TAY016",2016,287,279,360
"Salt Lake","TAY016",2018,301,,413
"Salt Lake","TAY017",2016,195,180,231
"Salt Lake","TAY017",2018,166,,247
"Salt Lake","TAY020",2016,340,277,322
"Salt Lake","TAY020",2018,309,,406
"Salt Lake","TAY021",2016,320,245,318
"Salt Lake","TAY021",2018,333,,351
"Salt Lake","TAY022",2016,119,98,115
"Salt Lake","TAY022",2018,150,,159
"Salt Lake","TAY023",2016,297,244,289
"Salt Lake","TAY023",2018,323,,334
"Salt Lake","TAY024",2016,301,242,276
"Salt Lake","TAY024",2018,301,,312
"Salt Lake","TAY025",2016,264,,235
"Salt Lake","TAY025",2018,253,282,241
"Salt Lake","TAY026",2016,181,182,216
"Salt Lake","TAY026",2018,182,,244
"Salt Lake","TAY027",2016,196,188,252
"Salt Lake","TAY027",2018,224,,289
"Salt Lake","TAY028",2016,229,202,257
"Salt Lake","TAY028",2018,248,,306
"Salt Lake","TAY029",2016,15,15,16
"Salt Lake","TAY029",2018,14,,18
"Salt Lake","TAY030",2016,223,211,274
"Salt Lake","TAY030",2018,239,,308
"Salt Lake","TAY031",2016,243,221,256
"Salt Lake","TAY031",2018,210,,270
"Salt Lake","TAY032",2016,226,195,260
"Salt Lake","TAY032",2018,200,,266
"Salt Lake","TAY033",2016,182,,211
"Salt Lake","TAY033",2018,196,219,254
"Salt Lake","TAY034",2016,257,234,280
"Salt Lake","TAY034",2018,249,,311
"Salt Lake","TAY035",2016,279,263,332
"Salt Lake","TAY035",2018,281,,367
"Salt Lake","TAY036",2016,185,154,201
"Salt Lake","TAY036",2018,158,,213
"Salt Lake","TAY037",2016,270,217,253
"Salt Lake","TAY037",2018,279,,294
