precinct	Registered Voters	Ballots Cast	Voter Turnout
MUR011	673	592	0.88
MUR012	774	666	0.86
MUR013	141	121	0.86
MUR014	541	484	0.89
MUR015	418	351	0.84
MUR016	536	467	0.87
MUR017	345	276	0.80
MUR018	846	732	0.87
MUR019	396	356	0.90
MUR020	771	650	0.84
MUR021	769	664	0.86
MUR022	73	67	0.92
MUR023	697	599	0.86
MUR024	574	492	0.86
MUR025	696	562	0.81
MUR027	1017	900	0.89
MUR029	944	841	0.89
